make,manufactured,reg_date,type_of_vehicle,category,transmission,curb_weight,power,engine_cap,no_of_owners,depreciation,coe,road_tax,dereg_value,mileage,omv,arf,price,estimated_price,registration_year
kia,2017.0,2017-10-31,mid-sized sedan,"parf car, premium ad car",auto,1295.0,95.0,1591.0,2.0,13210.0,41761,738.0,22421.0,120231.0,12808.0,12808.0,51000.0,93300,2017
seat,2017.0,2018-06-08,sports car,parf car,auto,1421.0,213.0,1984.0,2.0,24970.0,37605,1194.0,40191.0,124000.0,33429.0,38801.0,118800.0,167000,2018
kyc,2024.0,2024-07-01,van,"almost new car, electric cars",auto,1580.0,,,1.0,11030.0,56165,,44932.0,70.0,27358.0,1368.0,109888.0,70000,2024
mazda,2023.0,2023-09-29,mid-sized sedan,"parf car, direct owner sale, almost new car, low mileage car, hybrid cars",auto,1397.0,88.0,1496.0,1.0,16110.0,101000,682.0,84550.0,7849.0,17553.0,5000.0,150888.0,134888,2023
suzuki,2019.0,2020-07-30,hatchback,"parf car, direct owner sale, low mileage car",auto,990.0,103.0,1371.0,2.0,17850.0,35001,610.0,37523.0,32741.0,21039.0,21455.0,120000.0,119800,2020
mitsubishi,2017.0,2017-10-12,mid-sized sedan,"parf car, low mileage car, sgcarmart warranty cars",auto,940.0,59.0,1193.0,1.0,13280.0,36001,506.0,14445.0,18000.0,13666.0,5000.0,43800.0,75900,2017
sc,2019.0,2019-07-30,bus/mini bus,direct owner sale,auto,11720.0,,10837.0,1.0,38840.0,25501,,13065.0,62000.0,140000.0,7000.0,199000.0,85000,2019
aston martin,2016.0,2017-07-01,sports car,"parf car, rare & exotic, premium ad car, low mileage car",auto,1870.0,447.0,5204.0,2.0,93440.0,50526,5834.0,255187.0,26505.0,220636.0,369145.0,469000.0,1349000,2017
suzuki,2010.0,2010-08-25,hatchback,"coe car, sgcarmart warranty cars",auto,1100.0,92.0,1586.0,3.0,11390.0,32190,1030.0,19437.0,154845.0,16378.0,16378.0,68800.0,105000,2010
mercedes-benz,2005.0,2005-08-03,luxury sedan,"coe car, premium ad car",auto,1655.0,200.0,3498.0,4.0,13350.0,70454,4746.0,6756.0,153000.0,77806.0,85587.0,12800.0,210000,2005
porsche,2004.0,2005-08-04,sports car,"coe car, premium ad car, low mileage car",auto,1705.0,331.0,3600.0,2.0,294450.0,70454,4986.0,6891.0,77000.0,200215.0,220237.0,288000.0,151500,2005
bmw,2017.0,2017-11-24,mpv,"parf car, premium ad car",auto,1480.0,75.0,1499.0,1.0,16190.0,47112,684.0,38357.0,107500.0,30858.0,35202.0,70800.0,192000,2017
honda,2017.0,2018-03-01,suv,"parf car, low mileage car",auto,1185.0,96.0,1496.0,1.0,15430.0,40000,682.0,26409.0,47400.0,19116.0,19116.0,63500.0,117000,2018
mercedes-benz,2022.0,2023-02-01,luxury sedan,"parf car, premium ad car",auto,1410.0,96.0,1332.0,1.0,20510.0,80000,586.0,101099.0,21000.0,36203.0,42685.0,198500.0,202000,2023
toyota,2016.0,2017-01-09,mpv,parf car,auto,1360.0,105.0,1798.0,2.0,17850.0,51109,976.0,25093.0,120000.0,19955.0,19955.0,55800.0,90000,2017
mitsubishi,2015.0,2015-11-04,truck,premium ad car,auto,2280.0,,2998.0,2.0,20050.0,5368,,744.0,110000.0,28343.0,1418.0,27800.0,79900,2015
hyundai,2021.0,2021-10-26,mid-sized sedan,"parf car, premium ad car",auto,1280.0,90.0,1598.0,1.0,15160.0,52709,742.0,41744.0,41634.0,18871.0,5000.0,111800.0,91800,2021
hyundai,2018.0,2018-04-04,suv,"parf car, premium ad car",auto,1594.0,130.0,1591.0,3.0,16540.0,42661,738.0,26755.0,146963.0,16204.0,16204.0,70998.0,146800,2018
mercedes-benz,2016.0,2016-10-14,hatchback,parf car,auto,1395.0,90.0,1595.0,1.0,15880.0,50000,740.0,22483.0,85024.0,23217.0,19504.0,43988.0,190000,2016
ferrari,2013.0,2013-05-14,sports car,"coe car, rare & exotic, low mileage car",auto,1716.0,541.0,6262.0,6.0,76250.0,115270,8986.0,102764.0,58000.0,483038.0,483038.0,680000.0,530000,2013
mercedes-benz,2020.0,2021-02-09,suv,"parf car, direct owner sale",auto,1690.0,120.0,1332.0,1.0,25250.0,46790,586.0,71345.0,65000.0,44373.0,54123.0,193000.0,283888,2021
toyota,2021.0,2022-05-25,suv,parf car,auto,970.0,72.0,996.0,1.0,14010.0,70901,392.0,60082.0,24000.0,17897.0,5000.0,113800.0,108888,2022
mercedes-benz,2020.0,2020-04-03,sports car,"parf car, premium ad car",auto,1635.0,310.0,1991.0,3.0,34890.0,30012,1202.0,85571.0,47000.0,66047.0,90885.0,247800.0,348000,2020
mercedes-benz,1991.0,1992-01-29,luxury sedan,coe car,auto,,0.0,1996.0,6.0,9300.0,31933,,15039.0,130000.0,40058.0,60087.0,43800.0,60000,1992
land rover,2019.0,2020-12-17,suv,"parf car, premium ad car, hybrid cars",auto,1845.0,147.0,1997.0,2.0,23030.0,41503,1210.0,66181.0,41888.0,43642.0,53099.0,172800.0,346000,2020
toyota,2015.0,2016-01-04,mpv,parf car,auto,1980.0,134.0,2493.0,3.0,34460.0,60003,1792.0,30506.0,118000.0,33248.0,38548.0,72800.0,399888,2016
mercedes-benz,2015.0,2015-06-04,hatchback,"parf car, premium ad car",auto,1395.0,90.0,1595.0,2.0,17010.0,68589,740.0,13180.0,110000.0,22209.0,13093.0,23000.0,198000,2015
nissan,2015.0,2016-03-21,suv,"parf car, premium ad car, low mileage car",auto,1626.0,106.0,1997.0,2.0,14080.0,38610,1210.0,19122.0,78000.0,21714.0,22400.0,36000.0,190000,2016
honda,2019.0,2019-11-13,hatchback,"parf car, premium ad car, sgcarmart warranty cars",auto,1030.0,73.0,1317.0,1.0,13560.0,30000,578.0,20108.0,62000.0,16011.0,6011.0,73500.0,75000,2019
toyota,2007.0,2007-08-13,mpv,coe car,auto,1770.0,125.0,2362.0,4.0,15250.0,50972,2457.0,15306.0,147000.0,29025.0,31928.0,45800.0,193000,2007
toyota,2020.0,2020-12-29,suv,"parf car, premium ad car",auto,1530.0,127.0,1987.0,2.0,18930.0,49300,1198.0,57792.0,45100.0,30048.0,34068.0,140800.0,155000,2020
kia,2011.0,2011-05-24,suv,coe car,auto,1838.0,128.0,2359.0,4.0,12480.0,47316,2124.0,32538.0,149898.0,23093.0,23093.0,85800.0,197500,2011
nissan,2016.0,2016-06-21,suv,"parf car, premium ad car",auto,1626.0,106.0,1997.0,4.0,13450.0,56000,1210.0,25437.0,125000.0,22572.0,23601.0,38888.0,133800,2016
subaru,2015.0,2015-12-23,suv,"parf car, premium ad car, low mileage car, sgcarmart warranty cars",auto,1682.0,177.0,1998.0,1.0,15340.0,59889,1210.0,17922.0,72000.0,17728.0,17728.0,29800.0,155000,2015
mercedes-benz,2020.0,2021-03-30,van,premium ad car,auto,1800.0,,2143.0,3.0,12810.0,30099,,20434.0,48000.0,34085.0,1705.0,86988.0,180000,2021
hyundai,2018.0,2019-02-25,suv,"parf car, sgcarmart warranty cars",auto,1540.0,114.0,1999.0,2.0,16200.0,36667,1212.0,29250.0,76700.0,18293.0,18293.0,81800.0,128000,2019
toyota,2018.0,2018-12-12,van,premium ad car,auto,1800.0,,2754.0,3.0,15870.0,23527,,10378.0,78000.0,33774.0,1689.0,69988.0,123000,2018
bmw,2021.0,2021-12-23,luxury sedan,parf car,auto,1490.0,115.0,1998.0,2.0,18520.0,80989,1210.0,97087.0,47000.0,41353.0,49895.0,161388.0,198000,2021
bmw,2019.0,2019-11-30,mpv,"parf car, premium ad car",auto,1490.0,80.0,1499.0,2.0,14980.0,31759,684.0,36776.0,108451.0,24215.0,25901.0,94800.0,175000,2019
bmw,2019.0,2020-10-30,hatchback,parf car,auto,1320.0,103.0,1499.0,2.0,16700.0,40301,684.0,53798.0,66653.0,33143.0,38401.0,122800.0,162000,2020
volkswagen,2009.0,2010-01-07,sports car,"coe car, low mileage car",auto,1318.0,147.0,1984.0,5.0,11640.0,39463,1791.0,21634.0,110000.0,28426.0,28426.0,63800.0,95000,2010
lexus,2011.0,2011-07-18,hatchback,"coe car, premium ad car, hybrid cars",auto,1410.0,73.0,1798.0,4.0,14540.0,47316,1269.0,32149.0,207000.0,41506.0,24904.0,98800.0,100000,2011
land rover,2016.0,2017-07-31,suv,"parf car, low mileage car",auto,1720.0,177.0,1999.0,2.0,25240.0,50001,1212.0,54520.0,36000.0,48917.0,60484.0,107000.0,239888,2017
lamborghini,2021.0,2021-10-07,sports car,"parf car, direct owner sale, rare & exotic, low mileage car",auto,1572.0,449.0,5204.0,2.0,108870.0,72756,5834.0,279177.0,5000.0,184355.0,303839.0,948000.0,623000,2021
bmw,2012.0,2012-08-21,luxury sedan,"coe car, consignment car",auto,1750.0,235.0,2979.0,4.0,17460.0,49716,2834.0,33548.0,190000.0,80170.0,80170.0,117800.0,235000,2012
nissan,2015.0,2016-02-23,suv,parf car,auto,1285.0,85.0,1197.0,3.0,13650.0,51301,508.0,16072.0,154492.0,18454.0,13454.0,29800.0,94788,2016
mercedes-benz,2017.0,2018-04-30,luxury sedan,"parf car, premium ad car",auto,1605.0,135.0,1991.0,2.0,22190.0,42661,1202.0,59164.0,113788.0,52567.0,66621.0,115800.0,330000,2018
honda,2021.0,2021-11-09,stationwagon,"parf car, consignment car",auto,1130.0,95.0,1496.0,1.0,13700.0,47001,682.0,37539.0,48000.0,19566.0,5000.0,100998.0,125000,2021
audi,2012.0,2012-07-12,sports car,"coe car, premium ad car",auto,1575.0,250.0,2480.0,3.0,18980.0,28978,2131.0,11845.0,108000.0,58413.0,58413.0,38800.0,260000,2012
renault,2019.0,2020-01-16,mpv,"parf car, premium ad car",auto,1540.0,81.0,1461.0,2.0,13750.0,35320,1048.0,33400.0,76017.0,26585.0,19219.0,83500.0,168000,2020
suzuki,2021.0,2022-02-21,van,direct owner sale,auto,880.0,,658.0,1.0,8560.0,38132,,29315.0,39000.0,15509.0,776.0,65800.0,99800,2022
honda,2014.0,2015-09-10,luxury sedan,parf car,auto,1530.0,114.0,1997.0,1.0,17540.0,60789,1210.0,26295.0,111000.0,30108.0,34152.0,38800.0,191000,2015
subaru,2008.0,2008-08-29,hatchback,coe car,auto,1360.0,110.0,1994.0,6.0,12560.0,34991,1809.0,14715.0,145000.0,15203.0,15203.0,52806.0,125000,2008
mini,2015.0,2016-01-28,hatchback,"parf car, premium ad car",auto,1205.0,85.0,1496.0,3.0,16080.0,45002,1082.0,13842.0,89200.0,24942.0,11919.0,32000.0,150000,2016
honda,2017.0,2017-03-13,suv,"parf car, hybrid cars",auto,1280.0,112.0,1496.0,2.0,16520.0,50621,682.0,16869.0,91000.0,26073.0,5000.0,47800.0,136800,2017
honda,2008.0,2008-04-16,mid-sized sedan,"coe car, premium ad car",auto,1220.0,92.0,1595.0,6.0,12780.0,38655,1110.0,14159.0,200000.0,19243.0,21168.0,46800.0,113000,2008
nissan,2006.0,2007-02-13,mid-sized sedan,"coe car, premium ad car",auto,1110.0,81.0,1597.0,1.0,11930.0,50394,1113.0,13006.0,156756.5,11449.0,7083.0,30800.0,62000,2007
bmw,2011.0,2011-12-13,hatchback,"coe car, consignment car",auto,1315.0,125.0,1598.0,3.0,14040.0,44138,965.0,30739.0,128266.5,32029.0,32029.0,97800.0,175000,2011
subaru,2017.0,2017-04-25,suv,"parf car, premium ad car",auto,1591.0,110.0,1995.0,1.0,14910.0,54405,1208.0,24280.0,78500.0,14556.0,14556.0,49888.0,150000,2017
mazda,2014.0,2014-12-10,mid-sized sedan,"coe car, premium ad car",auto,1339.0,88.0,1496.0,2.0,11850.0,42275,682.0,41951.0,125300.0,15728.0,5728.0,58800.0,130000,2014
mercedes-benz,2019.0,2019-11-04,hatchback,"parf car, premium ad car, low mileage car",auto,1410.0,120.0,1332.0,2.0,21960.0,38602,586.0,50282.0,37634.0,33790.0,39306.0,138000.0,193000,2019
volvo,2017.0,2017-08-23,suv,"parf car, sgcarmart warranty cars",auto,1722.0,180.0,1969.0,1.0,16990.0,48001,1176.0,39836.0,83000.0,36151.0,42612.0,71800.0,200000,2017
toyota,2019.0,2020-03-24,bus/mini bus,-,auto,2180.0,,2754.0,1.0,18130.0,22002,,12357.0,62000.0,44904.0,2246.0,101800.0,143000,2020
bmw,2017.0,2017-06-28,luxury sedan,"parf car, premium ad car, low mileage car",auto,1560.0,140.0,1995.0,2.0,25160.0,54616,1806.0,45024.0,44826.0,44181.0,48854.0,96800.0,292000,2017
toyota,2022.0,2022-07-12,suv,"parf car, premium ad car",auto,1110.0,88.0,1490.0,1.0,14320.0,78001,680.0,65531.0,22000.0,19073.0,5000.0,115888.0,116888,2022
bmw,2010.0,2010-06-30,luxury sedan,"coe car, consignment car",auto,1700.0,225.0,2979.0,6.0,18830.0,33568,3543.0,19755.0,139831.5,59324.0,59324.0,110800.0,220000,2010
bmw,1991.0,1992-01-08,luxury sedan,"coe car, direct owner sale, rare & exotic",auto,,,1991.0,6.0,13110.0,31933,,14812.0,130000.0,42379.0,63569.0,60800.0,206000,1992
subaru,2008.0,2008-07-28,hatchback,"coe car, premium ad car",manual,1235.0,79.0,1498.0,6.0,12820.0,37165,1026.0,14723.0,200000.0,12490.0,9591.0,50800.0,82988,2008
suzuki,2009.0,2009-10-29,hatchback,"coe car, premium ad car",manual,1090.0,92.0,1586.0,6.0,13490.0,26175,1104.0,12765.0,149838.0,14871.0,14871.0,65800.0,102000,2009
toyota,2019.0,2019-06-20,van,premium ad car,auto,1800.0,,2754.0,2.0,20730.0,25502,,12576.0,62000.0,35722.0,1787.0,102250.0,123000,2019
mercedes-benz,2018.0,2018-07-31,luxury sedan,"parf car, premium ad car",auto,1425.0,115.0,1595.0,1.0,20500.0,36000,740.0,45984.0,102853.0,37480.0,44472.0,106800.0,211000,2018
bmw,2016.0,2016-10-27,hatchback,"parf car, premium ad car, low mileage car",auto,1350.0,85.0,1496.0,2.0,14740.0,56956,1082.0,18047.0,70125.0,23904.0,10466.0,37777.0,150000,2016
toyota,2021.0,2021-07-14,truck,-,auto,1740.0,,2982.0,2.0,14690.0,36134,,25284.0,32539.0,33157.0,1658.0,102800.0,110000,2021
nissan,2016.0,2016-04-27,mid-sized sedan,"parf car, premium ad car",auto,1205.0,85.0,1598.0,1.0,12610.0,47300,742.0,18056.0,115000.0,16807.0,16807.0,31900.0,101800,2016
volkswagen,2021.0,2021-12-30,suv,"parf car, low mileage car",auto,1369.0,85.0,999.0,1.0,15830.0,52709,392.0,56902.0,14000.0,22456.0,23439.0,129800.0,131000,2021
ds,2019.0,2021-01-12,suv,"parf car, premium ad car",auto,1428.0,133.0,1598.0,1.0,19310.0,49001,742.0,64831.0,40000.0,36760.0,43464.0,148800.0,245000,2021
honda,1997.0,1998-07-23,sports car,"coe car, premium ad car",manual,,,1595.0,6.0,21020.0,39274,1110.0,14903.0,125000.0,20365.0,28511.0,79800.0,38000,1998
mercedes-benz,2011.0,2012-02-20,luxury sedan,coe car,auto,1500.0,115.0,1597.0,3.0,11100.0,50570,965.0,38170.0,185000.0,31076.0,31076.0,83800.0,187000,2012
honda,2006.0,2006-07-05,sports car,"coe car, premium ad car",manual,1190.0,162.0,1998.0,3.0,39090.0,48479,1815.0,9895.0,156756.5,32179.0,35397.0,79888.0,95000,2006
bmw,2016.0,2017-01-03,suv,"parf car, premium ad car, low mileage car",auto,1485.0,141.0,1998.0,1.0,18930.0,54200,1210.0,36147.0,67000.0,33667.0,39134.0,63800.0,205000,2017
Volkswagen,2016.0,2017-02-27,sports car,"parf car, premium ad car, low mileage car",auto,1420.0,206.0,1984.0,2.0,32840.0,53001,1194.0,43193.0,66777.0,40089.0,48125.0,112777.0,265000,2017
jaguar,2014.0,2017-08-15,luxury sedan,parf car,auto,1873.0,177.0,1999.0,3.0,14150.0,52751,1212.0,72211.0,90000.0,63009.0,85417.0,87500.0,245000,2017
kia,2009.0,2010-03-03,sports car,"coe car, premium ad car",auto,1232.0,92.0,1591.0,4.0,11210.0,16519,1107.0,1765.0,178000.0,15665.0,15665.0,5988.0,82000,2010
Volkswagen,2015.0,2016-03-14,hatchback,"parf car, premium ad car",auto,1229.0,81.0,1197.0,3.0,12400.0,43000,508.0,11372.0,94436.0,18274.0,8274.0,23800.0,120000,2016
toyota,2018.0,2019-08-30,suv,"parf car, low mileage car, hybrid cars",auto,1440.0,90.0,1797.0,2.0,15230.0,40001,974.0,36635.0,46000.0,28219.0,21507.0,88800.0,133888,2019
chevrolet,2010.0,2010-07-30,mid-sized sedan,"coe car, low mileage car",auto,1388.0,80.0,1598.0,5.0,10320.0,16438,1039.0,3684.0,125000.0,12827.0,12827.0,11588.0,57000,2010
hyundai,2015.0,2016-01-18,hatchback,"parf car, premium ad car, low mileage car",auto,1210.0,97.0,1591.0,2.0,12240.0,45002,738.0,15739.0,81455.0,16870.0,16870.0,26000.0,107500,2016
subaru,2015.0,2015-10-24,suv,parf car,auto,1480.0,84.0,1600.0,2.0,12110.0,57089,744.0,17048.0,100000.0,18541.0,18541.0,23800.0,101800,2015
bmw,2017.0,2018-04-27,luxury sedan,"parf car, premium ad car",auto,1425.0,100.0,1499.0,1.0,17560.0,37330,684.0,39983.0,99167.0,34502.0,40303.0,85000.0,193000,2018
bmw,2019.0,2019-12-19,mpv,parf car,auto,1490.0,80.0,1499.0,1.0,15440.0,33009,684.0,45191.0,99800.0,31966.0,36753.0,100800.0,192000,2019
fiat,2014.0,2015-04-28,van,-,manual,1460.0,,1598.0,2.0,27170.0,38541,,,112168.0,19434.0,972.0,23600.0,106000,2015
alfa romeo,2019.0,2019-08-08,sports car,"parf car, consignment car",auto,1695.0,375.0,2891.0,2.0,32510.0,40001,2258.0,82741.0,75000.0,61583.0,82850.0,208888.0,428000,2019
nissan,2016.0,2016-04-29,mid-sized sedan,"parf car, premium ad car, low mileage car",auto,1205.0,85.0,1598.0,3.0,12930.0,47300,742.0,17071.0,65000.0,16807.0,16807.0,29800.0,101800,2016
skoda,2018.0,2019-01-29,luxury sedan,"parf car, premium ad car",auto,1700.0,162.0,1984.0,1.0,17280.0,33989,1194.0,36829.0,61035.0,27255.0,30157.0,94998.0,181000,2019
fiat,2016.0,2016-05-24,van,-,auto,1500.0,,1598.0,3.0,9520.0,43002,,7587.0,150000.0,19306.0,966.0,16800.0,100000,2016
mercedes-benz,2022.0,2023-08-29,luxury sedan,"parf car, almost new car, premium ad car, low mileage car, electric cars",auto,2385.0,180.0,,1.0,33620.0,129890,1971.0,165179.0,88.0,67906.0,60765.0,339988.0,405000,2023
mazda,2015.0,2016-01-21,mid-sized sedan,parf car,auto,1321.0,88.0,1496.0,2.0,13420.0,45002,682.0,14375.0,110000.0,18044.0,13044.0,28000.0,116800,2016
kia,2018.0,2018-12-19,mpv,parf car,auto,1525.0,104.0,1685.0,1.0,13460.0,32001,1318.0,28527.0,78000.0,20088.0,20124.0,70800.0,130000,2018
nissan,2016.0,2016-07-29,suv,parf car,auto,1626.0,106.0,1997.0,2.0,10500.0,56000,1210.0,23644.0,98000.0,22572.0,23601.0,31800.0,133800,2016
mazda,2016.0,2016-12-28,mpv,"parf car, premium ad car",auto,1535.0,111.0,1998.0,1.0,12620.0,51109,1210.0,23912.0,98000.0,19597.0,19597.0,39800.0,123000,2016
mazda,2021.0,2021-04-27,suv,"parf car, premium ad car",auto,1256.0,85.0,1496.0,2.0,14270.0,45600,682.0,43129.0,45000.0,15761.0,15761.0,105888.0,112800,2021
Mercedes-Benz,2022.0,2024-03-28,sports car,"parf car, rare & exotic, almost new car, low mileage car, hybrid cars",auto,1765.0,310.0,1991.0,1.0,34920.0,94006,1202.0,135205.0,2800.0,84564.0,150605.0,398888.0,384000,2024
volkswagen,2015.0,2015-11-06,suv,"parf car, sgcarmart warranty cars",auto,1551.0,118.0,1390.0,1.0,19400.0,62101,620.0,23982.0,113000.0,26894.0,29652.0,38800.0,200000,2015
mercedes-benz,2021.0,2021-10-29,suv,"parf car, electric cars",auto,2495.0,310.0,,1.0,30090.0,70200,4336.0,93802.0,29000.0,71701.0,56062.0,249888.0,365000,2021
Honda,2018.0,2018-10-18,hatchback,parf car,auto,1030.0,73.0,1317.0,2.0,12960.0,30209,578.0,16618.0,83000.0,14837.0,5000.0,58800.0,75000,2018
bmw,2017.0,2017-08-15,luxury sedan,"parf car, premium ad car",auto,1560.0,140.0,1995.0,2.0,25440.0,50001,1806.0,47591.0,88000.0,44181.0,48854.0,105000.0,236000,2017
mercedes-benz,2015.0,2016-07-07,luxury sedan,"parf car, premium ad car, sgcarmart warranty cars",auto,1680.0,155.0,1991.0,3.0,21280.0,56000,1202.0,52329.0,86000.0,53339.0,68011.0,77800.0,266000,2016
toyota,2020.0,2023-06-14,suv,"parf car, premium ad car, hybrid cars",auto,1620.0,160.0,2487.0,1.0,20730.0,120702,1784.0,134588.0,16000.0,40846.0,34608.0,203888.0,225000,2023
bmw,2018.0,2018-04-19,sports car,parf car,auto,1855.0,441.0,4395.0,2.0,44140.0,38000,4568.0,129913.0,109000.0,114436.0,177985.0,258800.0,388000,2018
honda,2016.0,2016-11-29,suv,parf car,auto,1280.0,112.0,1496.0,4.0,14790.0,56089,682.0,16769.0,85000.0,28714.0,5000.0,38800.0,136800,2016
lexus,2015.0,2016-07-21,luxury sedan,parf car,auto,1655.0,232.0,3456.0,2.0,19120.0,56089,3100.0,60949.0,95000.0,66456.0,91621.0,81800.0,215000,2016
toyota,2019.0,2019-09-13,van,premium ad car,auto,1800.0,,2754.0,1.0,14860.0,24599,,12906.0,62000.0,33826.0,1692.0,77988.0,123000,2019
lexus,2019.0,2020-07-24,luxury sedan,parf car,auto,1620.0,180.0,1998.0,1.0,20040.0,35001,1210.0,56673.0,45000.0,39331.0,47064.0,145888.0,231800,2020
toyota,2019.0,2020-09-23,mpv,"parf car, premium ad car",auto,1775.0,125.0,2362.0,1.0,23220.0,41510,1638.0,56255.0,65000.0,34487.0,40282.0,165800.0,65000,2020
lotus,2023.0,2023-08-01,sports car,"parf car, rare & exotic, low mileage car",manual,1493.0,298.0,3456.0,1.0,54510.0,118001,3100.0,154401.0,3800.0,110067.0,232215.0,548350.0,478000,2023
honda,2009.0,2010-05-13,mpv,coe car,auto,1680.0,132.0,2354.0,1.0,11140.0,16784,2442.0,2658.0,149838.0,34096.0,34096.0,8822.0,165000,2010
suzuki,2012.0,2012-03-28,hatchback,"coe car, premium ad car",manual,1070.0,100.0,1586.0,6.0,12070.0,59179,957.0,45592.0,108000.0,15996.0,15996.0,92988.0,102000,2012
toyota,2019.0,2019-03-27,luxury sedan,parf car,auto,1545.0,154.0,2487.0,2.0,17160.0,33989,1784.0,43923.0,62000.0,33952.0,39533.0,101800.0,168000,2019
infiniti,2017.0,2018-04-11,hatchback,"parf car, premium ad car",auto,1410.0,80.0,1461.0,2.0,20090.0,37000,1048.0,27203.0,91000.0,27211.0,20096.0,86825.0,157000,2018
jaguar,2016.0,2016-06-28,luxury sedan,"parf car, sgcarmart warranty cars",auto,1574.0,132.0,1999.0,2.0,16850.0,57010,1812.0,28638.0,113188.0,35607.0,31850.0,48800.0,190000,2016
honda,2007.0,2007-06-18,mid-sized sedan,"coe car, premium ad car",auto,1220.0,92.0,1595.0,4.0,16760.0,50625,1110.0,14133.0,147000.0,17949.0,19744.0,46800.0,95000,2007
land rover,2016.0,2016-07-05,suv,parf car,auto,2583.0,188.0,2993.0,2.0,29620.0,57010,3376.0,64764.0,110000.0,64690.0,88442.0,105000.0,127000,2016
toyota,2015.0,2015-10-09,mid-sized sedan,parf car,auto,1205.0,90.0,1598.0,2.0,15540.0,55399,742.0,17194.0,132000.0,19589.0,19589.0,27800.0,105000,2015
nissan,2019.0,2019-10-31,van,-,manual,1800.0,,2488.0,1.0,10440.0,25556,,13345.0,62000.0,25565.0,1279.0,54500.0,71788,2019
mini,2011.0,2011-03-31,hatchback,"coe car, premium ad car",auto,1100.0,72.0,1598.0,6.0,9930.0,41397,1039.0,27776.0,166641.0,19082.0,19082.0,66600.0,85000,2011
bmw,2019.0,2019-11-29,suv,"parf car, premium ad car",auto,1485.0,141.0,1998.0,1.0,18740.0,42020,1210.0,58943.0,55700.0,40635.0,48889.0,123800.0,200000,2019
citroen,2016.0,2017-07-11,hatchback,parf car,auto,1320.0,88.0,1560.0,3.0,14060.0,45201,1144.0,18824.0,86000.0,21872.0,7621.0,46999.0,89200,2017
lamborghini,2019.0,2019-05-29,suv,"parf car, low mileage car",auto,2320.0,478.0,3996.0,1.0,103240.0,35403,3944.0,236756.0,45300.0,189539.0,313171.0,668000.0,450000,2019
audi,2001.0,2002-08-07,sports car,"coe car, direct owner sale",manual,,,1781.0,2.0,12030.0,42683,1434.0,28323.0,134450.0,52031.0,67641.0,79800.0,150000,2002
mercedes-benz,2018.0,2018-05-08,suv,"parf car, premium ad car",auto,1785.0,155.0,1991.0,1.0,27810.0,39000,1202.0,56219.0,77777.0,50619.0,63115.0,139888.0,297000,2018
suzuki,2009.0,2009-09-29,hatchback,"coe car, premium ad car",auto,1090.0,92.0,1586.0,6.0,14010.0,25525,1104.0,11839.0,149838.0,16004.0,16004.0,65000.0,115000,2009
porsche,2012.0,2013-04-12,sports car,"coe car, rare & exotic, premium ad car, low mileage car",auto,1475.0,257.0,3436.0,3.0,34770.0,106916,3682.0,94057.0,102000.0,124443.0,124443.0,305888.0,432000,2013
bmw,2018.0,2018-10-16,suv,"parf car, premium ad car",auto,1720.0,185.0,1998.0,2.0,29790.0,31301,1210.0,67782.0,67000.0,58570.0,77426.0,168000.0,298000,2018
bmw,2021.0,2023-09-12,luxury sedan,"parf car, almost new car, low mileage car, hybrid cars",auto,1615.0,137.0,1998.0,1.0,24890.0,134889,1210.0,187177.0,2600.0,58536.0,83219.0,271800.0,360000,2023
nissan,2016.0,2016-07-20,hatchback,"parf car, sgcarmart warranty cars",auto,1044.0,58.0,1198.0,1.0,13040.0,53694,508.0,14239.0,88631.0,13046.0,5000.0,29800.0,79500,2016
honda,2021.0,2022-06-17,mpv,parf car,auto,1360.0,95.0,1496.0,1.0,17330.0,73801,682.0,75634.0,29304.0,22037.0,22852.0,148800.0,114800,2022
ford,2016.0,2017-06-19,mid-sized sedan,"parf car, premium ad car",auto,1334.0,92.0,999.0,3.0,11860.0,45201,392.0,21740.0,100243.0,19190.0,14190.0,41800.0,102000,2017
subaru,2017.0,2017-09-18,mid-sized sedan,"parf car, premium ad car",auto,1449.0,84.0,1600.0,1.0,13830.0,36001,744.0,20493.0,82240.0,13486.0,13486.0,51800.0,105000,2017
byd,2022.0,2022-10-25,hatchback,"parf car, electric cars",auto,1930.0,70.0,,1.0,14100.0,78899,1326.0,63119.0,133000.0,26883.0,,116800.0,145000,2022
hyundai,2021.0,2021-10-04,mid-sized sedan,"parf car, sgcarmart warranty cars",auto,1280.0,90.0,1598.0,2.0,14980.0,45189,742.0,38425.0,36000.0,21589.0,7225.0,113000.0,112000,2021
subaru,2008.0,2008-07-28,sports car,"coe car, premium ad car",manual,1505.0,221.0,2457.0,5.0,18910.0,36888,2625.0,15190.0,145000.0,33046.0,33046.0,77888.0,131000,2008
mercedes-benz,2010.0,2010-09-20,luxury sedan,"coe car, direct owner sale",auto,1650.0,150.0,1796.0,4.0,12740.0,34935,1364.0,21602.0,148900.0,56996.0,56996.0,78800.0,180000,2010
audi,2018.0,2019-02-28,luxury sedan,"parf car, premium ad car, low mileage car",auto,1535.0,140.0,1984.0,2.0,21010.0,36667,1194.0,51490.0,47800.0,41240.0,49736.0,123800.0,223800,2019
Nissan,2018.0,2018-03-31,suv,parf car,auto,1325.0,85.0,1197.0,2.0,14220.0,38000,508.0,27227.0,67000.0,20452.0,20633.0,62000.0,124800,2018
